kutti,standard
পোলাডা রাস্তা দিয়া হাঁইটা যাইতাছে,ছেলেটি রাস্তা দিয়ে হেঁটে যাচ্ছে
একখান বিলাই দরজার সামতে বইয়া আছে,একটি বিড়াল দরজার সামনে বসে আছে
একখান কুত্তা রাস্তায় বইয়া আছে,একটি কুকুর রাস্তায় বসে আছে
একখান সাদা রঙের চিড়িয়া আসমানে উড়তাছে,একটি সাদা রঙের পাখি আকাশে উড়ছে
পিচ্চি একখান পোলা,অল্পবয়সী একটি ছেলে
বাইরে ফুটপাতে দৌড়াইতাছে,বাইরে ফুটপাতে দৌড়াচ্ছে
আমি কামে যাইবার চাই না,আমি কাজে যেতে চাই না
আপনে এই কলমখান লন,আপনি এই কলমটি নিন
আমারে হাছা কথা কন,আমাকে সত্যি কথা বলুন
তুই ঘুম থিকা জলদি উইঠা যা,তুমি ঘুম থেকে তাড়াতাড়ি উঠে যাও
আপনে ঘুম থিকা উঠবার চান না,আপনি ঘুম থেকে উঠতে চান না
আমি বিয়ানে নাস্তা খায়া স্কুলে যাই,আমি সকালে নাস্তা করে স্কুলে যাই
আমার বিয়ানে কিচ্ছু খাইবার ভালা লাগে না,আমার সকালে কিছু খেতে ভালো লাগে না
আমরা হাইরা গেছি,আমরা হেরে গিয়েছি
আমরা হাইরা গেছিলাম,আমরা হেরে গিয়েছিলাম
আমডা কেডা খাইছিল,আমটি কে খেয়েছিল
আমি হারাইয়া গেছি,আমি হারিয়ে গিয়েছি
আমারে ইয়াকিন কর,আমাকে বিশ্বাস করো
আমার সওয়ালের জওয়াব দ্যান,আমার প্রশ্নের উত্তর দিন
আমি হেরে দ্যাকবার পাইলাম,আমি তাকে দেখতে পেলাম
আমারে ঢুকবার দ্যান,আমাকে ঢুকতে দিন
আমারে যাইবার দে,আমাকে যেতে দাও
এইহানে ইন্তেজার করেন,এখানে অপেক্ষা করুন
আমি বেমার অইয়া পড়ছিলাম,আমি অসুস্থ হয়ে পরেছিলাম
আমি হেগো দ্যাকবার পাইলাম,আমি ওদের দেখতে পেলাম
ওয়াক্ত খতম অইয়া গেছে,সময় শেষ হয়ে গেছে
আমরা ইন্তেজার করুম,আমরা অপেক্ষা করব
হে উইঠা খাড়াইলো,তিনি উঠে দাঁড়ালেন
আমি ম্যালা লম্বা,আমি বেশি লম্বা
আমি মাফ চাইতাছি,আমি ক্ষমা চাইছি
আমি ফিরা আইলাম,আমি ফিরে এলাম
আমি কেক ভালা পাই,আমি কেক পছন্দ করি
এট্টু ঘুমাইয়া ল,একটু ঘুমিয়ে নাও
আমি অ্যাকলা আছিলাম,আমি একা ছিলাম
আমার লগে আহেন,আমার সঙ্গে আসুন
হে ক্ষেইপা গেছিল,তিনি রেগে গিয়েছিলেন
আমার হাতখান ধরেন,আমার হাতটা ধরুন
আমি অবাক অইয়া গেছিলাম,আমি আশ্চর্য হয়ে গিয়েছিলাম
আমি আমু না,আমি আসবো না
আমি হারুম না,আমি হারবো না
আমার হাত ব্যাথা করতাছে,আমার হাত ব্যাথা করছে
আমার পা ব্যাথা করতাছে,আমার পা ব্যাথা করছে
আপনেরে কেডা পাঠাইছে,আপনাকে কে পাঠিয়েছে
তরে দেইখা বেমার বইলা মনে অইতাছে,তোমাকে দেখে অসুস্থ বলে মনে হচ্ছে
আপনেরা পয়লে যান,আপনারা আগে যান
আমারে ডাকবেন না,আমাকে ডাকবেন না
আমার হলুদ রঙ পচন্দ,আমার হলুদ রঙ পছন্দ
আমি আপেল ভালা পাই,আমি আপেল পছন্দ করি
আমার ঠান্ডা লাগছে,আমার ঠান্ডা লেগেছে
আমার ভুক লাগছে,আমার খিদে পাচ্ছে
আমি বিলাতে গেছিলাম,আমি বিদেশে গিয়েছিলাম
আমি ভিতরে গেলাম,আমি ভেতরে গেলাম
হে ক্ষেইপা গেছিলো,সে রেগে গিয়েছিলো
আমারে হেনে লইয়া চলেন,আমাকে ওখানে নিয়ে চলুন
হে আমার বউ,সে আমার স্ত্রী
আপনেরে দেইখা বেমার বইলা মনে অইতাছে,আপনাকে দেখে অসুস্থ বলে মনে হচ্ছে
আমাগো সাদির পর থিকাই,আমাদের বিয়ের পর থেকেই
নানান ছুটোখাটো কারনে,নানা ছোটখাটো কারনে
ক্যাচাল লাইগা থাহতো,ঝগড়া লেগে থাকতো
আমি বুঝবার পারতাম,আমি বুঝতে পারতাম
হের আর কইজানি রিশতা আছে,তার অন্য কোথায় যেন সম্পর্কে আছে
হে কুনু দিন স্বীকার করে নাইক্কা,সে কোন দিন স্বীকার করে না
এমনে নানান ক্যাচাল অইতে থাহে,এভাবে নানা রকম ঝামেলা হতে থাকে
আমাগো খান্দানিভাবে সাদি অয়,আমাদের পারিবারিক ভাবে বিয়ে হয়
যহন বাড়িত জানাই,যখন বাড়ীতে জানাই
তহন নানান কথা অয়,তখন নানা রকম কথা হয়
বেশ কয়েক বার হেরে মওকা দেওন অয়,বেশ কয়েক বার তাকে সু্যোগ দেয়া হয়
তয় হে ভালা অয় না,কিন্তু সে ভালো হয়না
ম্যালা দিন বাপের বাড়িত আছিলাম,অনেক দিন বাবার বাসায় ছিলাম
তরে ছাড়া বাঁচুম,তোমাকে ছাড়া বাচবো
তর সাদিতেও নাচুম,তোমার বিয়েতেও নাচবো
হে তহন আবারো ফিরা চায় আমারে,সে তখন আবারো ফিরে চায় আমাকে
এক পর্যায়ে এমুন অবস্থা করে যে,এক পর্যায়ে এমন অবস্থা করে যে
আমিও মাইনা লই ,আমিও মেনে নেই
কয় দিন হে ভালা থাহে,কিছু দিন সে ভালো থাকে
এরপর একের পর এক অশান্তি বাড়তেই থাহে,তারপর একের পর এক অশান্তি বাড়তে থাকে
হে যার লগে লাইন মারতাছে,সে যার সাথে পরকীয়া করছে
হেরে সাদি করবো না কয়,তাকে বিয়ে করবে না বলে
তয় রিশতা রাখবো,তবে সম্পর্ক রাখবে
হে খালি আমারে খাওনডুক ঠিক মত দেয়,সে শুধু আমাকে খাবার টুকু ঠিক মত দেয়
য্যান কাউরে কইবার না পারি,যেন কাউকে বলতে না পারি
আমার তো একখান হাত খরচাও লাগে ,আমার তো একটা হাত খরচও লাগে
হেইডাও হে দেয় না,তাও সে দেয়না
,
আমি ওইদিকে যামু না,আমি ওদিকে যাব না
আমি ওইদিকে যামু,আমি ওদিকে যাব
একখান কবিতা ক,একটি কবিতা বল
আমার কবুতর পচন্দ,আমার কবুতর পছন্দ
আমার নসিব ভালা,আমার কপাল ভাল
হে কেমনে ঝিমাইতাছে দেক,সে কিভাবে ঝিমাচ্ছে দেখ
কি পাইছেন,কি পেয়েছেন
আমি তরে দেইখা লমু,আমি তোমাকে দেখে নেবো
ভুইলা গেছোস নি,ভুলে গেছো
কি তরকারি,কি তরকারি
আমি পারুম,আমি পারবো
হে পলাইছে,সে পালিয়েছে
হে ম্যালা ডরপুক,সে অনেক ভীতু
তরকারি ল,তরকারি নাও
ধারে আয়,কাছে এসো
আপনেরে পাঠাইছে,আপনাকে পাঠিয়েছে
শিমুর গোলাপি রং পচন্দ,শিমুর গোলাপি রং পছন্দ
আপনেরা আগে যান,আপনারা আগে যান
আপনে কই থেইকা আইছেন?,আপনি কোথায় থেকে এসেছেন?
সামলাইয়া রাহিস।,সামলে রেখো।
কি করবি আমি যদি ঠিক থাহি,কি করবে আমি যদি ঠিক থাকি
আমার কথা বুঝস তুই?,আমার কথা বুঝিস তুই?
আমার পিছে কি?,আমার পিছন কি?
তরে আমরা দেইখা লমু,তোমাকে আমরা দেখে নেবো
যাওনের সময় কই গেছিলি,যাওয়ার সময় কোথায় গেছিস
পরানডা ঘরে রাইখা,প্রানটা ঘরে রেখে
মাতায় হাত দিয়া ক আমারে ধোঁকা দিবি না,মাথায় হাত দিয়ে বলো আমাকে ধোঁকা দিবে না
তর নাম লিইখা দিছি,তোমার নাম লিখে দিয়েছি
না-ও কস হ-ও কস।,না ও বলিস হা বলিস।
আমি জানি তুই আইছোস,আমি জানি তুমি এসেছো
তুই কাইলকা আয়,তুমি কাল এসো
আমি জানি তুই আইছোস,আমি জানি তুমি এসেছো
সিটি কর্পোরেশন অফিস আছে,সিটি কর্পোরেশন অফিস আছে
ম্যালা কষ্টে আছি,অনেক কষ্টে আছি
আমি হাছায় ম্যালা অসহায় বোধ করতাছি,আমি সত্যি খুব অসহায় বোধ করছি
আমি ম্যালা অসহায় বোধ করতাছি,আমি খুব অসহায় বোধ করছি
ম্যালা অসহায় বোধ করতাছি,খুব অসহায় বোধ করছি
অসহায় বোধ করতাছি,অসহায় বোধ করছি
আমি হাছায় ম্যালা অসহায়,আমি সত্যি খুব অসহায়
ভিডিও বানানের কি দরকার আছিল?,ভিডিও বানানোর কি দরকার ছিল?
বানানের কি দরকার আছিল?,বানানোর কি দরকার ছিল?
আমারে ডাক,আমাকে ডাক
সিলেট থেইকা আমার লগে দেহা করবার আইছিল,সিলেট থেকে আমার সাথে দেখা করতে এসেছিল
আমার লগে দেহা করবার আইছিল,আমার সাথে দেখা করতে এসেছিল
দেহা করবার আইছিল,দেখা করতে এসেছিল
সিলেট থেইকা ডাহায় আইছে,সিলেট থেকে ঢাকায় এসেছে
ধরবেন না,স্পর্শ করবেন না
অইয়া গেছি,হয়ে গিয়েছি
আসল কথায় আহন,আসল কথায় আসা
আমি ভাত খামু না গোসসা করছি,আমি ভাত খাবো না রাগ করছি
আপনে আমারে ছাইড়া চইলা যাইবেন,আপনি আমাকে ছেড়ে চলে যাবেন
সাদি অয় ম্যালা বছর আগে,বিয়ে হয় অনেক বছর আগে
যাওনের কথা নাই,যাওয়ার কথা নেই
ভাবতাছি কিচু একটা করুম,চিন্তা করছি কিছু একটা করবো
হেইডা ভালা অইবো তর লাইগা,সেটি ভাল হবে তোর জন্য
বাড়িত আহনের সময় অইয়া গ্যাছে,বাড়িতে আসার সময় হয়ে গেছে
হে খাওন থাইমা কইলো,সে খাওয়া থেমে বলল
খাওন খাইতে গেলো,খাবার খেতে গেল
কথা না কইয়া খাওনে মন দ্যায়,কথা না বলে খাওয়াতে মনযোগ দেয়
খাওন শ্যাষ কইরা তহন হের দিকে গেলো,খাওয়া শেষ করে তখন তার দিকে গেল
দেইখা চোখ গেলো,দেখে চোখ গেল
সোন্দর কিচু অইবার পারে,সুন্দর কিছু হতে পারে
সাদি করছে আমার ছুটো ভাই,বিয়ে করেছে আমার ছোট ভাই
মাতায় বুদ্ধি অয় না,মাথায় বুদ্ধি হয় না
ডিম দেওন বন্ধ কইরা দ্যায়,ডিম দেওয়া বন্ধ করে দেয়
হগলরে কওন অইছে,সবাইকে বলা হয়েছে
কওন অইছে,বলা হয়েছে
আপনের এইডা করন লাগবো,আপনার এটা করা লাগবে
করন লাগবো,করা লাগবে
চইলা আইবি,চলে আসবি
"আমি হেরে কইলাম, এইডা করিস না","আমি তাকে বললাম, এটা করোনা"
আমি হেরে কইলাম,আমি তাকে বললাম
এইডা করিস না,এটা করোনা
কি দরকার আছিল?,কি দরকার ছিল?
দরকার আছিল?,দরকার ছিল?
বানানের কি দরকার,বানানোর কি দরকার
এমুন করতাছে ক্যালা বইসা বইসা?,এমন করতেছে কেন বসে বসে?
ক্যালা বইসা বইসা?,কেন বসে বসে?
এমুন করতাছে,এমন করতেছে
এইডা কেমনে সম্ভব?,এ কি করে সম্ভব?
কেমনে সম্ভব?,কি করে সম্ভব?
তুই এত ঘুমাস ক্যালা?,তুমি এত ঘুমাও কেন?
তুই ঘুমাস ক্যালা?,তুমি ঘুমাও কেন?
ঘুমাস ক্যালা?,ঘুমাও কেন?
এত ঘুমাস ক্যালা?,এত ঘুমাও কেন?
তুই ঘুমা,তুমি ঘুমাও
তর কাম নাই?,তোমার কাজ নেই?
কথা ঠিক আছে নি?,কথা ঠিক আছে ?
কান টাইন্না লাল কইরা হালামু আমি তর,কান টান লাল করে ফেলবো আমি তোর
আমি কষ্টে আছি,আমি কষ্টে আছি
কষ্টে আছি,কষ্টে আছি
তর লগে আমার জরুরি কথা আছে,তোমার সাথে আমার জরুরি কথা আছে
তর লগে আমার কথা আছে,তোমার সাথে আমার কথা আছে
আমার জরুরি কথা আছে,আমার জরুরি কথা আছে
জরুরি কথা আছে,জরুরি কথা আছে
কথা আছে,কথা আছে
আমার বিয়ানে উইঠাই চা খাইবার অভ্যাস,আমার সকালে উঠেই চা খাওয়ার অভ্যাস
বিয়ানে উইঠাই চা খাইবার অভ্যাস,সকালে উঠেই চা খাওয়ার অভ্যাস
চা খাইবার অভ্যাস,চা খাওয়ার অভ্যাস
তুই দুপুরে কি খাইছোস?,তুমি দুপুরে কি খেয়েছ?
দুপুরে কি খাইছোস?,দুপুরে কি খেয়েছ?
তুই কি রাইত বেলা বাইরে বাইর অইবি নি?,তুমি কি রাতের বেলা বাইরে বের হবে?
রাইত বেলা বাইরে বাইর অইবি নি?,রাতের বেলা বাইরে বের হবে?
বাইরে বাইর অইবি নি?,বাইরে বের হবে?
তুই কি বাইরে বাইর অইবি নি?,তুমি কি বাইরে বের হবে?
বাইর অইবি নি?,বের হবে?
আপনের লগে কথা কইতে আমার ম্যালা ভালা লাগে,আপনার সাথে কথা বলতে আমার অনেক ভালো লাগে
কথা কইতে আমার ম্যালা ভালা লাগে,কথা বলতে আমার অনেক ভালো লাগে
আমার ম্যালা ভালা লাগে,আমার অনেক ভালো লাগে
রঙ করবার পারবি নাকি রে,রঙ করতে পারবি নাকি রে
কাম করতাম কেমনে?,কাজ করতাম কিভাবে?
আমি ম্যালা কষ্টে আছি,আমি অনেক কষ্টে আছি
কথা কইতে ভালা লাগে,কথা বলতে ভালো লাগে
কথা ভালা লাগে,কথা ভালো লাগে
আপনের লগে কথা,আপনার সাথে কথা
খেলবি নাকি আমার মাইয়ার লগে,খেলবি নাকি আমার মেয়ের সাথে
আমার অহন তরে ভালা লাগে,আমার এখন তোমাকে ভাল লাগে
আমার কথা বুঝস তুই?,আমার কথা বুঝিস তুই?
কসম আমার গায়ে জ্বর,কসম আমার গায়ে জ্বর
তরে আমরা দেইখা লমু,তোমাকে আমরা দেখে নেবো
তুই দুপুরে কি দিয়া ভাত খাইছোস?,তুমি দুপুরে কি দিয়ে ভাত খেয়েছ?
দুপুরে কি দিয়া ভাত খাইছোস?,দুপুরে কি দিয়ে ভাত খেয়েছ?
দুপুরে কি খাইছোস?,দুপুরে কি খেয়েছ?
কি দিয়া ভাত,কি দিয়ে ভাত
হগল থেইকা কাছের মাইনষ,সব থেকে কাছের মানুষ
ম্যালা ভালা লাগে,অনেক ভালো লাগে
ভালা লাগে,ভালো লাগে
কথা কইতে ম্যালা ভালা লাগে,কথা বলতে অনেক ভালো লাগে
আমি তরে ডাকুম না,আমি তোমাকে ডাকব না
তরে ডাকুম না,তোমাকে ডাকব না
আমি তরে ডাকুম,আমি তোমাকে ডাকব
তরে ডাকুম,তোমাকে ডাকব
ডাকুম না,ডাকব না
তর এত ঘুম আসে ক্যালা?,তোমার এত ঘুম আসে কেন?
তর ঘুম আসে ক্যালা?,তোমার ঘুম আসে কেন?
এত ঘুম আসে ক্যালা?,এত ঘুম আসে কেন?
ঘুম আসে ক্যালা?,ঘুম আসে কেন?
তর এত ঘুম ক্যালা?,তোমার এত ঘুম কেন?
পোলাডা সাদা রঙের একখান শার্ট পইড়া আইছিল,ছেলেটি সাদা রঙের একটি শার্ট পরে এসেছিল
হে অহন রাজশাহী চইলা গ্যাছে,সে এখন রাজশাহী চলে গেছে
হে এক্কেরে হাসে না,সে একদমই হাসে না
হে হাসে না,সে হাসে না
হে হাসে,সে হাসে
হাসে না,হাসে না
এক্কেরে হাসে না,একদমই হাসে না
হে রাজশাহী চইলা গ্যাছে,সে রাজশাহী চলে গেছে
রাজশাহী চইলা গ্যাছে,রাজশাহী চলে গেছে
চইলা গ্যাছে,চলে গেছে
হে অহন রাজশাহী,সে এখন রাজশাহী
আপনের হগল থেইকা কাছের মাইনষ কেডা?,আপনার সব থেকে কাছের মানুষটি কে?
আপনের কাছের মাইনষ কেডা?,আপনার কাছের মানুষটি কে?
কাছের মাইনষ কেডা?,কাছের মানুষটি কে?
মাইনষ কেডা?,মানুষটি কে?
ডাহায় আইছে,ঢাকায় এসেছে
পোলাডা ডাহায় আইছে,ছেলেটি ঢাকায় এসেছে
সিলেট থেইকা ডাহায়,সিলেট থেকে ঢাকায়
সাদা রঙের একখান শার্ট পইড়া আইছিল,সাদা রঙের একটি শার্ট পরে এসেছিল
সাদা রঙের একখান শার্ট,সাদা রঙের একটি শার্ট
সাদা রঙের শার্ট পইড়া আইছিল,সাদা রঙের শার্ট পরে এসেছিল
সাদা রঙের শার্ট,সাদা রঙের শার্ট
শার্ট পইড়া আইছিল,শার্ট পরে এসেছিল
পইড়া আইছিল,পরে এসেছিল
আমার ম্যালা খারাপ লাগতাছে,আমার অনেক খারাপ লাগছে
আমার খারাপ লাগতাছে,আমার খারাপ লাগছে
ম্যালা খারাপ লাগতাছে,অনেক খারাপ লাগছে
খারাপ লাগতাছে,খারাপ লাগছে
তুই কুন স্কুলে পড়স,তুমি কোন স্কুলে পড়
কুন স্কুলে পড়স,কোন স্কুলে পড়
আমাগো বাড়ি চাঁদপুর,আমাদের বাড়ি চাঁদপুর
আমাগো বাড়ি যশোর,আমাদের বাড়ি যশোর
তুই কই যাস,তুমি কোথায় যাও
কই যাস,কোথায় যাও
হের বই পড়তে এক্কেরে ভালা লাগে না,তার বই পর্তে এক্দমি ভাল লাগে না
তর কি পড়ালেহা এক্কেরে ভালা লাগে না নি?,তোমার কি পড়াশুনা একদমই ভালো লাগে না?
পড়ালেহা এক্কেরে ভালা লাগে না নি?,পড়াশুনা একদমই ভালো লাগে না?
তর কি পড়ালেহা ভালা লাগে না নি?,তোমার কি পড়াশুনা ভালো লাগে না?
তর কি পড়ালেহা ভালা লাগে নি?,তোমার কি পড়াশুনা ভালো লাগে ?
ভালা লাগে না নি?,ভালো লাগে না?
আমি কামে যাইবার চাই,আমি কাজে যেতে চাই
কামে যাইবার চাই না,কাজে যেতে চাই না
যাইবার চাই না,যেতে চাই না
চাই না,চাই না
কামে যাইবার চাই,কাজে যেতে চাই
যাইবার চাই,যেতে চাই
আপনে এই কলমখান লন,আপনি এই কলম টি নিন
এই কলমখান লন,এই কলম টি নিন
কলমখান লন,কলম টি নিন
আপনে কলমখান লন,আপনি কলম টি নিন
তুই যাবি,তুমি যাবে
"পোলাপান কানতাছে, খাওন খাওয়া","বাচ্চা কাঁদছে, খাবার খাওয়াও"
নিজের থাহনের জায়গা নাই আবার আরেকজনের খাওন-পরাণের দায় নিছে,নিজের থাকার জায়গা নেই আবার আরেকজনের ভরণপোষণের দায়িত্ব নিয়েছে
আমারে হাছা কথা কন,আমাকে সত্যি কথা বলুন
হাছা কথা কন,সত্যি কথা বলুন
কথা কন,কথা বলুন
আমারে হাছা কন,আমাকে সত্যি বলুন
হাছা কন,সত্যি বলুন
পোলাপান কানতাছে,বাচ্চা কাঁদছে
খাওন খাওয়া,খাবার খাওয়াও
তুই ঘুম থেইকা জলদি উইঠা যা,তুমি ঘুম থেকে তাড়াতাড়ি উঠে যাও
ঘুম থেইকা জলদি উইঠা যা,ঘুম থেকে তাড়াতাড়ি উঠে যাও
জলদি উইঠা যা,তাড়াতাড়ি উঠে যাও
উইঠা যা,উঠে যাও
তুই জলদি উইঠা যা,তুমি তাড়াতাড়ি উঠে যাও
আমি বিয়ানে নাস্তা খায়া স্কুলে যাই,আমি সকালে নাস্তা করে স্কুলে যাই
বিয়ানে নাস্তা খায়া স্কুলে যাই,সকালে নাস্তা করে স্কুলে যাই
নাস্তা খায়া স্কুলে যাই,নাস্তা করে স্কুলে যাই
স্কুলে যাই,স্কুলে যাই
আমি নাস্তা খায়া স্কুলে যাই,আমি নাস্তা করে স্কুলে যাই
আমার বিয়ানে কিচ্যু খাইতে ভালা লাগে না,আমার সকালে কিছু খেতে ভালো লাগে না
বিয়ানে কিচ্যু খাইতে ভালা লাগে না,সকালে কিছু খেতে ভালো লাগে না
কিচ্যু খাইতে ভালা লাগে না,কিছু খেতে ভালো লাগে না
খাইতে ভালা লাগে না,খেতে ভালো লাগে না
ভালা লাগে না,ভালো লাগে না
লাগে না,লাগে না
আমার কিচ্যু খাইতে ভালা লাগে না,আমার কিছু খেতে ভালো লাগে না
আমার খাইতে ভালা লাগে না,আমার খেতে ভালো লাগে না
আমার কিচ্যু ভালা লাগে না,আমার কিছু ভালো লাগে না
আমার ভালা লাগে না,আমার ভালো লাগে না
আমার বিয়ানে কিচ্যু খাইতে ভালা লাগে,আমার সকালে কিছু খেতে ভালো লাগে
বিয়ানে কিচ্যু খাইতে ভালা লাগে,সকালে কিছু খেতে ভালো লাগে
কিচ্যু খাইতে ভালা লাগে,কিছু খেতে ভালো লাগে
খাইতে ভালা লাগে,খেতে ভালো লাগে
ভালা লাগে,ভালো লাগে
আমার কিচ্যু খাইতে ভালা লাগে,আমার কিছু খেতে ভালো লাগে
আমার খাইতে ভালা লাগে,আমার খেতে ভালো লাগে
আমার কিচ্যু ভালা লাগে,আমার কিছু ভালো লাগে
আমার ভালা লাগে,আমার ভালো লাগে
আমরা হাইরা গেছি,আমরা হেরে গেছি
আমি ভালা আছি,আমি ভাল আছি
ভালা আছি,ভাল আছি
আমি ভালা নাই,আমি ভাল নাই
তুই কেমুন আছোস?,তুমি কেমন আছ?
ভালা লাগতাছে না,ভাল লাগছে না
আমার ভালা লাগতাছে না,আমার ভাল লাগছে না
আমি ক্রিকেট খেলুম,আমি ক্রিকেট খেলব
ক্রিকেট খেলুম,ক্রিকেট খেলব
তুই কই?,তুমি কোথায়?
একখান বিলাই দরজার সামতে বইসা আছে,একটি বিড়াল দরজার সামনে বসে আছে
বিলাই দরজার সামতে বইসা আছে,বিড়াল দরজার সামনে বসে আছে
দরজার সামতে বইসা আছে,দরজার সামনে বসে আছে
সামতে বইসা আছে,সামনে বসে আছে
বইসা আছে,বসে আছে
আমি কামে যাইবার চাই না,আমি কাজে যেতে চাই না
তুই কই থেইকা আইতাছোস?,তুমি কোথা থেকে আসছ?
কই থেইকা আইতাছোস?,কোথা থেকে আসছ?
তুই কই থাহস?,তুমি কোথায় থাক?
কই থাহস?,কোথায় থাক?
আমি ভালা নাই,আমি ভালো নাই
আপনে কেমুন আছেন?,আপনি কেমন আছেন?
তুই কেমুন আছোস,তুমি কেমন আছো
কইজানি যা,কোথাও যাও
তুই কই থেইকা আইতাছোস?,তুমি কোথায় থেকে আসছো?
কই থেইকা আইতাছোস?,কোথায় থেকে আসছো?
তুই কি করস?,তুমি কি করো?
ক্যালা কইতাছেন?,কেনো বলতেছেন?
কি করস?,কি করো?
আমার মন ভালা নাই,আমার মন ভালো নেই
মন ভালা নাই,মন ভালো নেই
আপনেগো বাড়ি কই,আপনাদের বাড়ি কোথায়
আমি স্কুলে যাই না,আমি স্কুলে যাই না
আমি যামু না,আমি যাবো না
আমি স্কুলে যাই নাই,আমি স্কুলে যাই নি
তরে এইহান থেইকা যাইতে কইছি,তোমাকে এইখান থেকে যেতে বলেছি
এইহান থেইকা যাইতে কইছি,এইখান থেকে যেতে বলেছি
তুই কি কাম করস?,তুমি কি কাজ করো?
কি কাম করস?,কি কাজ করো?
কাম করস নি?,কাজ করো?
প্যাচাল কম পারবি নি?,কথা কম বলো?
এই কামডা করস?,এই কাজটা করো?
কামডা কর,কাজটা করো
বিয়ানবেলা কাম কর,সকালবেলা কাজ করো
হন্ধ্যায় কাম কর,সন্ধ্যা কাজ করো
এক গালে একখান থাপ্পর লাগাইয়া দিমু,এক গালে একটা থাপ্পর লাগিয়ে দিব
একখান থাপ্পর লাগাইয়া দিমু,একটা থাপ্পর লাগিয়ে দিব
আমি ভাত খামু,আমি ভাত খাব
ভাত খামু,ভাত খাব
আমার কাম আছে,আমার কাজ আছে
কাম আছে,কাজ আছে
আমরা যামু,আমরা যাইব
তর নাম কি?,তোমার নাম কী?
আমার নাম নয়ন।,আমার নাম নয়ন।
আমি তরে ভালা পাই,আমি তোমাকে ভালবাসি
তরে ভালা পাই,তোমাকে ভালবাসি
তুই কই যাইতাছোস?,তুমি কোথায় যাচ্ছ?
কই যাইতাছোস?,কোথায় যাচ্ছ?
কি আনুম,কি আনব
"পোলাপান কানতাছে, খাওন খাওয়া","বাচ্চা কাঁদছে, খাবার খাওয়াও"
আমি খাই,আমি খাই
আমি খেলি,আমি খেলি
আমি খামু,আমি খাব
আমি পড়ি,আমি পড়ি
আমি পড়ুম,আমি পড়বো
আমি স্কুলে যামু,আমি স্কুলে যাব
স্কুলে যামু,স্কুলে যাব
আমি ভাত খামু না,আমি ভাত খাবো না
খামু না,খাবো না
তুই কি করস,তুমি কি করো
কি করস,কি করো
আমি খেলা করি,আমি খেলা করি
খেলা করি,খেলা করি
তুই ভাত খাইছোস নি,তুমি ভাত খেয়েছো
তর কি খবর,কি খবর তোমার
কি খবর,কি খবর
তোগো বাড়ি কই,তোমাদের বাড়ি কোথায়
বাড়ি কই,বাড়ি কোথায়
কি করস হগলে,কি করো সবাই
কি করস,কি করো
আমি রিশকা কইরা আমু,আমি রিক্সা করে আসবো
রিশকা কইরা আমু,রিক্সা করে আসবো
আমার নাম আরিফ,আমার নাম আরিফ
তুই কি করস,তুমি কি কর
কি করস,কি কর
তর বয়স কত,তোমার বয়স কত
না ভালা নাই,না ভাল নাই
আমি রাগ করছি,আমি রাগ করেছি
আমি তর লগে পরে কথা কমু,আমি তোমার সাথে পরে কথা বলব
এই বাড়িডা আমাগো,এই বাড়িটা আমাদের
সোন্দর কইরা ব,সুন্দর ভাবে বস
আমাগো বাড়িত কেউ আসে নাই,আমাদের বাড়িতে কেউ আসে নাই
কি করতাছেন,কী করছেন
ভাই কি করতাছেন?,ভাই/ভাইয়া কী করছেন?
করবার পারতাছি না ম্যালা জ্বর,করতে পারতেছি না অনেক জর
আপেল আমার পচন্দ,আপেল আমার পছন্দ
আঙ্গুর আমার পচন্দ,আঙ্গুর আমার পছন্দ
হে ম্যালা খায়,সে অনেক খায়
আমি কি করলাম?,আমি কি করলাম?
আইজকা বাইরে যামু,আজকে বাহিরে যাব
আইজকা বাইরে যামু না,আজকে বাহিরে যাব না
আমারে হাছা কথা কন,আমাকে সত্যি কথা বলুন
হাছা কথা কন,সত্যি কথা বলুন
কথা কন,কথা বলুন
আমারে হাছা কন,আমাকে সত্যি বলুন
হাছা কন,সত্যি বলুন
তুই ঘুম থেইকা জলদি উইঠা যা,তুমি ঘুম থেকে তাড়াতাড়ি উঠে যাও
ঘুম থেইকা জলদি উইঠা যা,ঘুম থেকে তাড়াতাড়ি উঠে যাও
জলদি উইঠা যা,তাড়াতাড়ি উঠে যাও
উইঠা যা,উঠে যাও
তুই জলদি উইঠা যা,তুমি তাড়াতাড়ি উঠে যাও
আমি বিয়ানে নাস্তা খায়া স্কুলে যাই,আমি সকালে নাস্তা করে স্কুলে যাই
বিয়ানে নাস্তা খায়া স্কুলে যাই,সকালে নাস্তা করে স্কুলে যাই
নাস্তা খায়া স্কুলে যাই,নাস্তা করে স্কুলে যাই
স্কুলে যাই,স্কুলে যাই
আমাগো কাম আছে,আমাদের কাজ আছে
তর কাম আছে,তোমার কাজ আছে
আপনের লাইগা,আপনার জন্য
তুই আইজকা স্কুলে গেছিলি নি?,তুই আজকে স্কুলে গিয়েছিলি?
আইজকা স্কুলে গেছিলি নি?,আজকে স্কুলে গিয়েছিলি?
কি কি আনুম,কি কি আনব
আমার বিয়ানে কিচ্যু খাইতে ভালা লাগে না,আমার সকালে কিছু খেতে ভালো লাগে না
বিয়ানে কিচ্যু খাইতে ভালা লাগে না,সকালে কিছু খেতে ভালো লাগে না
কিচ্যু খাইতে ভালা লাগে না,কিছু খেতে ভালো লাগে না
খাইতে ভালা লাগে না,খেতে ভালো লাগে না
